AIKOL,KICT,KENMS,KOED,KOE,KAED,KIRKHS,CELPAD
0,1300,150,840,930,820,420,440
1300,0,1600,900,450,750,1150,1170
150,1600,0,1220,1290,900,500,450
840,900,1220,0,90,450,160,220
930,450,1290,90,0,170,450,450
820,750,900,450,170,0,600,600
420,1150,500,160,450,600,0,40
440,1170,450,220,450,600,40,0
